date_time,wave_height_(m),sea_state
2020-04-01,0.63,3
2020-04-02,0.67,3
2020-04-03,1.65,4
2020-04-04,1.51,4
2020-04-05,0.48,2
2020-04-06,1.22,3
2020-04-07,1.53,4
2020-04-08,1.02,3
2020-04-09,0.53,3
2020-04-10,1.45,4
2020-04-11,1.32,4
2020-04-12,0.91,3
2020-04-13,0.43,2
2020-04-14,0.74,3
2020-04-15,1.59,4
2020-04-16,1.11,3
2020-04-17,0.72,3
2020-04-18,0.88,3
2020-04-19,1.05,3
2020-04-20,0.66,3
2020-04-21,1.01,3
2020-04-22,0.44,2
2020-04-23,0.99,3
2020-04-24,0.83,3
2020-04-25,1.05,3
2020-04-26,0.74,3
2020-04-27,0.96,3
2020-04-28,1.01,3
2020-04-29,0.59,3
2020-04-30,1.21,3
2020-05-01,0.66,3
2020-05-02,0.73,3
2020-05-03,1.09,3
2020-05-04,0.56,3
2020-05-05,0.36,2
2020-05-06,0.98,3
2020-05-07,0.9,3
2020-05-08,0.63,3
2020-05-09,0.73,3
2020-05-10,0.71,3
2020-05-11,1.28,4
2020-05-12,1.56,4
2020-05-13,0.36,2
2020-05-14,0.37,2
2020-05-15,0.38,2
2020-05-16,0.57,3
2020-05-17,0.49,2
2020-05-18,0.59,3
2020-05-19,0.98,3
2020-05-20,1.11,3
2020-05-21,1.25,4
2020-05-22,1.53,4
2020-05-23,1.48,4
2020-05-24,0.82,3
2020-05-25,1.08,3
2020-05-26,1.05,3
2020-05-27,1.02,3
2020-05-28,0.64,3
2020-05-29,2.19,4
2020-05-30,2.16,4
2020-05-31,1.66,4
2020-06-01,1.18,3
2020-06-02,1.06,3
2020-06-03,1.05,3
2020-06-04,1.19,3
2020-06-05,1.14,3
2020-06-06,1.12,3
2020-06-07,1.59,4
2020-06-08,1.48,4
2020-06-09,1.05,3
2020-06-10,0.57,3
2020-06-11,0.92,3
2020-06-12,0.94,3
2020-06-13,0.84,3
2020-06-14,0.78,3
2020-06-15,0.55,3
2020-06-16,0.96,3
2020-06-17,1.44,4
2020-06-18,1.16,3
2020-06-19,1.4,4
2020-06-20,0.84,3
2020-06-21,1.22,3
2020-06-22,0.79,3
2020-06-23,1.23,3
2020-06-24,0.93,3
2020-06-25,1.63,4
2020-06-26,1.51,4
2020-06-27,1.31,4
2020-06-28,1.73,4
2020-06-29,2.35,4
2020-06-30,1.83,4
2020-07-01,1.62,4
2020-07-02,1.9,4
2020-07-03,0.92,3
2020-07-04,0.89,3
2020-07-05,0.52,3
2020-07-06,0.7,3
2020-07-07,0.89,3
2020-07-08,0.54,3
2020-07-09,0.72,3
2020-07-10,0.74,3
2020-07-11,0.62,3
2020-07-12,1.02,3
2020-07-13,1.09,3
2020-07-14,0.69,3
2020-07-15,1.03,3
2020-07-16,1.32,4
2020-07-17,1.46,4
2020-07-18,1.52,4
2020-07-19,1.89,4
2020-07-20,2.6,5
2020-07-21,1.74,4
2020-07-22,1.41,4
2020-07-23,1.36,4
2020-07-24,1.15,3
2020-07-25,1.02,3
2020-07-26,0.79,3
2020-07-27,0.97,3
2020-07-28,1.8,4
2020-07-29,1.15,3
2020-07-30,0.62,3
2020-07-31,1.14,3
2020-08-01,0.82,3
2020-08-02,0.62,3
2020-08-03,0.41,2
2020-08-04,0.77,3
2020-08-05,0.85,3
2020-08-06,1.09,3
2020-08-07,1.07,3
2020-08-08,1.05,3
2020-08-09,1.46,4
2020-08-10,1.24,3
2020-08-11,2.07,4
2020-08-12,1.89,4
2020-08-13,1.02,3
2020-08-14,0.8,3
2020-08-15,0.74,3
2020-08-16,1.39,4
2020-08-17,1.33,4
2020-08-18,0.85,3
2020-08-19,0.52,3
2020-08-20,0.32,2
2020-08-21,0.52,3
2020-08-22,0.52,3
2020-08-23,0.73,3
2020-08-24,0.65,3
2020-08-25,0.52,3
2020-08-26,0.75,3
2020-08-27,0.74,3
2020-08-28,0.79,3
2020-08-29,2.28,4
2020-08-30,2.05,4
2020-08-31,0.98,3
2020-09-01,1.12,3
2020-09-02,1.43,4
2020-09-03,1.37,4
2020-09-04,1.19,3
2020-09-05,1.2,3
2020-09-06,0.48,2
2020-09-07,1.27,4
2020-09-08,0.68,3
2020-09-09,0.41,2
2020-09-10,0.45,2
2020-09-11,1.33,4
2020-09-12,1.0,3
2020-09-13,0.19,2
2020-09-14,0.21,2
2020-09-15,0.19,2
2020-09-16,0.31,2
2020-09-17,0.23,2
2020-09-18,0.28,2
2020-09-19,0.46,2
2020-09-20,0.3,2
2020-09-21,0.53,3
2020-09-22,0.61,3
2020-09-23,0.61,3
2020-09-24,0.68,3
2020-09-25,0.74,3
2020-09-26,0.7,3
2020-09-27,0.71,3
2020-09-28,0.39,2
2020-09-29,1.35,4
2020-09-30,0.77,3
2020-10-01,0.62,3
2020-10-02,0.87,3
2020-10-03,0.78,3
2020-10-04,0.67,3
2020-10-05,0.74,3
2020-10-06,1.04,3
